major_category,mid_category,size,representative_count,rec_ids
"#운전·운송·배송","배차관리",4,3,"50369097,50462548,50424918"
"#운전·운송·배송","선적",4,3,"50341453,50415411,50324673"
"#운전·운송·배송","항공운송",4,3,"50337003,50331710,50372992"
"#운전·운송·배송","적재/하역",1,1,"50431954"
"#운전·운송·배송","철도운송",1,1,"50462548"
"#운전·운송·배송","육상운송",1,1,"50462548"
"#운전·운송·배송","보세운송",1,1,"50462548"
"#의료","기타",29,3,"50380253,50319865,50335513"
"#의료","보건관리자",12,3,"50414201,50462198,50462805"
"#의료","MR",11,3,"49449606,50301105,50494156"
"#의료","약사",6,3,"50396198,50436150,50441424"
"#의료","CRA(임상연구원)",3,3,"50436092,50436102,49982373"
"#의료","심리치료사",3,3,"50146896,50264741,50018158"
"#의료","간호사",3,3,"50390128,50230173,50202126"
"#의료","임상병리사",3,3,"50230173,50212332,50500727"
"#의료","CRM(임상연구전문가)",2,2,"50326345,50430909"
"#의료","상담실장",1,1,"50110580"
"#의료","초음파사",1,1,"50200329"
"#의료","CRC(연구간호사)",1,1,"50202126"
"#의료","영양사",1,1,"50291098"
"#의료","간호조무사",1,1,"50390128"
"#의료","의공기사",1,1,"50508136"
"#인사·노무·hrd","기타",783,3,"50032398,50033412,50041751"
"#인사·노무·hrd","인사",71,3,"50347533,50299439,50202078"
"#인사·노무·hrd","HRD",55,3,"50282018,50395758,50391984"
"#인사·노무·hrd","HRM",22,3,"50395758,50400726,50481077"
"#인사·노무·hrd","채용담당자",11,3,"50510979,50509450,50460141"
"#인사·노무·hrd","ER(노무관리)",11,3,"50510979,50413227,50474343"
"#인사·노무·hrd","HR컨설팅",3,3,"50442344,50521437,50235727"
"#인사·노무·hrd","노무사",3,3,"50400726,50460141,50273155"
"#총무·법무·사무","총무",120,3,"50291632,50168823,50284306"
"#총무·법무·사무","법무",98,3,"49187334,50291632,50201468"
"#총무·법무·사무","사무직",56,3,"50281842,50284306,50316497"
"#총무·법무·사무","기타",34,3,"50061108,50263475,50354339"
"#총무·법무·사무","비서",10,3,"50350522,50355658,50436301"
"#총무·법무·사무","서무",7,3,"50392159,50299803,50468406"
"#총무·법무·사무","컴플라이언스",5,3,"50436592,50519603,50458721"
"#총무·법무·사무","변호사",4,3,"50438293,50485226,49187334"
"#총무·법무·사무","법무사",4,3,"50436592,50438293,50519603"
"#총무·법무·사무","송무비서",4,3,"50350522,50485226,50366682"
"#총무·법무·사무","사내변호사",3,3,"50438293,49187334,50472762"
"#총무·법무·사무","수행비서",2,2,"50355658,50042401"
"#총무·법무·사무","임원비서",2,2,"50436301,50042401"
"#총무·법무·사무","변리사",2,2,"50436289,50493265"
"#총무·법무·사무","특허명세사",2,2,"50438293,50493265"
"#총무·법무·사무","법률사무원",1,1,"50366682"
"#회계·세무·재무","회계",115,3,"50080327,50093513,50193534"
"#회계·세무·재무","재무",104,3,"50080327,50335855,50072479"
"#회계·세무·재무","감사",23,3,"50260808,50374985,50436121"
"#회계·세무·재무","전산회계",18,3,"50260808,50374985,50351820"
"#회계·세무·재무","경리",13,3,"50383244,50260808,50436301"
"#회계·세무·재무","세무사",5,3,"50368402,50507340,50506092"
"#회계·세무·재무","회계사",4,3,"50350352,50019012,50494191"
"#회계·세무·재무","IR/공시",4,3,"50019012,50293214,50341783"
"#회계·세무·재무","KICPA",1,1,"50350352"
"#회계·세무·재무","AICPA",1,1,"50350352"
"#회계·세무·재무","공인회계사",1,1,"50350352"
"#회계·세무·재무","CFA",1,1,"50350352"
"#회계·세무·재무","행정사",1,1,"50479423"
"#회계·세무·재무","기타",1,1,"50499834"
